"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5400009155273","","","","","","","","","","96.9400024414062","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4591979980469","67.7441482543945","68.011962890625","68.3804092407227","68.3812026977539","68.5410766601562","68.7903137207031","69.169807434082","69.4844512939453","69.7017364501953","70.0222320556641","70.0493774414062","70.9508972167969","71.1836929321289","71.3728637695312","72.9529037475586","73.2341232299805","73.3184967041016","72.5854110717773","70.6293563842773","71.3386001586914","71.5392532348633","72.0829391479492","72.6773300170898","74.3590621948242","75.8650894165039","76.5416107177734","76.7340316772461","76.9109725952148","77.4039535522461","77.0254974365234","77.6234436035156","78.5200500488281","78.6001129150391","78.1891021728516","78.3387832641602","78.4737319946289","78.6228866577148","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.3099994659424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4199981689453","","","","50.2099990844727","","","","","50.371510067306","52.060001373291","","","","",
"Africa Western and Central","AFW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","52.3364791870117","52.5932197570801","53.3132095336914","53.9519309997559","54.6660804748535","55.3460693359375","56.0376892089844","56.723949432373","57.4566192626953","58.2080001831055","58.0762214660645","58.7622299194336","59.6353416442871","61.1421813964844","61.8068504333496","59.5599517822266","60.6769485473633","61.2339210510254","61.4859504699707","63.0483283996582","62.9991683959961","63.4284515380859","60.8741188049316","61.1542510986328","61.3846206665039","61.4690704345703","62.3256607055664","62.8705596923828","63.6513404846191","64.0949325561523","64.8042068481445","65.0220718383789","65.9993209838867","69.0591201782227","68.6310195922852","68.6456680297852","68.8546295166016","69.0764770507812","69.2806396484375","69.3980407714844","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9199981689453","","","","","","","","","","","","","79.9700012207031","83.7699966430664","","","","","","","","","","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1900024414062","","","","","","","97.3099975585938","","","98.0100021362305","98.3499984741211","","","","","98.5699996948242","","","","","","98.1500015258789","","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","62.8302001953125","63.2493095397949","63.8664398193359","63.702278137207","64.3250503540039","64.9437103271484","65.5626678466797","66.1639022827148","66.9340896606445","67.6798629760742","68.4870300292969","69.3180618286133","70.1174926757812","71.1344604492188","71.7471313476562","72.4054489135742","73.1699600219727","73.9204711914062","74.8360977172852","75.5281677246094","76.1772308349609","77.0340728759766","77.7965774536133","80.6522216796875","81.2315292358398","81.5661926269531","78.4904174804688","79.3200225830078","79.8395614624023","80.8938064575195","81.33056640625","82.7273406982422","83.5197372436523","84.2655029296875","84.2830581665039","84.9568176269531","83.4049301147461","83.8275680541992","84.0234680175781","84.1285629272461","84.4448089599609","84.6634063720703","84.9387969970703","85.1649780273438","85.4303436279297","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.3899993896484","","","","","","","","","","72.2699966430664","","","","","","","","","","","","","","","","","","","","89.4800033569336","","","","","","","","","","","","","","98.2200012207031","","98.8099975585938","98.8199996948242","98.5100021362305","99.0299987792969","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.2600021362305","","","","","","","","","","","96.1699981689453","","","","","","","","","","97.1900024414062","","","","","","","","","","","","","","","","","","","99.129997253418","","","","","",
